title,data_used,use_case_scenario,forecasting_scenario,year,nr_citations,approach
Mobile phone data and COVID-19: Missing an opportunity?,CDR,Covid-19,ShortTerm,2020,29,Evaluation
Anonymised and aggregated crowd level mobility data from mobile phones suggests that initial compliance with COVID-19 social distancing interventions was high and geographically consistent across the UK,CDR,Covid-19,ShortTerm,2020,1,Evaluation
Effects of human mobility restrictions on the spread of COVID-19 in Shenzhen China: a modelling study using mobile phone data,CDR,Covid-19,ShortTerm,2020,3,Evaluation
Impacts of State-Level Policies on Social Distancing in the United States Using Aggregated Mobility Data during the COVID-19 Pandemic,CDR,Covid-19,ShortTerm,2020,13,Evaluation
Measuring mobility to monitor travel and physical distancing interventions: a common framework for mobile phone data analysis,CDR,Covid-19,ShortTerm,2020,1,Evaluation
Mobile phone data for informing public health actions across the COVID-19 pandemic life cycle,CDR,Covid-19,ShortTerm,2020,48,Evaluation
Aggregated mobility data could help fight COVID-19,CDR,Covid-19,ShortTerm,2020,89,Evaluation
WiFi-based Crowd Monitoring and Workspace Planning for COVID-19 Recovery,WiFi,CrowdBehavior,ShortTerm,2020,0,Model
The impact of COVID-19 on relative changes in aggregated mobility using mobile-phone data,CDR,Covid-19,ShortTerm,2020,0,Evaluation
Mobile phone data analytics against the COVID-19 epidemics in Italy: flow diversity and local job markets during the national lockdown,CDR,Covid-19,ShortTerm,2020,4,Evaluation
Mobile phone location data reveal the effect and geographic variation of social distancing on the spread of the COVID-19 epidemic,CDR,Covid-19,ShortTerm,2020,11,Evaluation
Lockdown timing and efficacy in controlling COVID-19 using mobile phone tracking,CDR,Covid-19,ShortTerm,2020,6,Evaluation
Association of Mobile Phone Location Data Indications of Travel and Stay-at-Home Mandates With COVID-19 Infection Rates in the US,CDR,Covid-19,ShortTerm,2020,1,Evaluation
First second and potential third generation spreads of the COVID-19 epidemic in mainland China: an early exploratory study incorporating location-based service data of mobile devices,CDR,Covid-19,ShortTerm,2020,0,Evaluation
Population flow drives spatio-temporal distribution of COVID-19 in China,CDR,Covid-19,ShortTerm,2020,81,Evaluation
Human mobility and COVID-19 initial dynamics,CDR,Covid-19,ShortTerm,2020,1,Evaluation
Projections for first-wave COVID-19 deaths across the US using social-distancing measures derived from mobile phones,CDR,Covid-19,ShortTerm,2020,13,Evaluation
Population mobility reductions during COVID-19 epidemic in France under lockdown,CDR,Covid-19,ShortTerm,2020,11,Evaluation
COVID-19 lockdown induces structural changes in mobility networks -- Implication for mitigating disease dynamics,CDR,Covid-19,ShortTerm,2020,2,Evaluation
Effect of a federal paid sick leave mandate on working and staying at home: Evidence from cellular device data,CDR,Covid-19,ShortTerm,2020,13,Evaluation
Quest: Practical and Oblivious Mitigation Strategies for COVID-19 using WiFi Datasets,WiFi,Covid-19,ShortTerm,2020,3,Evaluation
Potential for inter-state spread of Covid-19 from Arizona USA: Analysis of mobile device-location and commercial flight data,Mix,Covid-19,ShortTerm,2020,1,Evaluation
Estimating Pedestrian Destinations Using Traces from WiFi Infrastructures,WiFi,CrowdFlowPrediction,ShortTerm,2020,12,Model
Deep multi-view residual attention network for crowd flows prediction,CDR,CrowdFlowPrediction,ShortTerm,2020,0,ML_DL
Pedestrian Activity Pattern Mining in WiFi-Network Connection Data,WiFi,CrowdFlowPrediction,ShortTerm,2016,14,ML_DL
How to Measure Static Crowds? Monitoring the Number of Pedestrians at Large Open Areas by Means of Wi-Fi Sensors,WiFi,CrowdFlowPrediction,ShortTerm,2018,5,Evaluation
